고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX1,KMH3,동의보감,湯液篇卷之三 > 草部 下 > 葛根,"性平一云冷, 味甘, 無毒. 主風寒頭痛. 解肌發表, 出汗開理, 解酒毒, 止煩渴, 開胃下食. 治胸膈熱, 通小腸, 療金瘡.","성질이 평(平)하고차다고도 한다 맛은 달며 독이 없다. 풍한두통에 주로 쓴다. 땀을 약간 내어 사기를 발산시키고, 발한시켜 주리(理)를 연다. 술독을 풀고 답답하고 목마른 것을 멎게 하며, 식욕을 돋우고 소화를 돕는다. 가슴의 열을 없애고, 소장을 잘 통하게 하며, 쇠붙이에 다친 상처를 치료한다.",한의학고전DB
CLTX2,KMH3,동의보감,湯液篇卷之三 > 草部 下 > 葛根,"生山中, 處處有之. 五月五日採根, 暴乾. 以入土深者, 爲佳. 《本草》","산 속에서 자라는데 곳곳에 있다. 5월 5일에 뿌리를 캐어 볕에 말리는데, 땅속 깊이 들어간 것이 약효가 좋다. 《본초》",한의학고전DB
CLTX3,KMH3,동의보감,湯液篇卷之三 > 草部 下 > 葛根,一名鹿藿. 《本草》,녹곽(鹿藿)이라고도 한다. 《본초》,한의학고전DB
CLTX4,KMH3,동의보감,湯液篇卷之三 > 草部 下 > 葛根,"足陽明經行經的藥也. 通行足陽明之經, 生津止渴, 虛渴者, 非此不能除也. 凡病酒及渴者, 得之甚良. 亦治溫消渴. 《湯液》",족양명경의 약이다. 족양명경을 돌며 진액을 만들어 갈증을 없앤다. 허증의 갈증은 갈근이 아니면 치료할 수 없다. 술로 인한 병이나 갈증을 멎게 하는 데 아주 좋다. 온학과 소갈도 치료한다. 《탕액》,한의학고전DB
CLTX5,KMH6,동의보감,湯液篇卷之二 > 草部 上 > 甘菊花,"性平, 味甘, 無毒. 安腸胃, 利五, 調四肢. 主風眩頭痛. 養目血, 止淚出, 淸利頭目, 療風濕痺.","성질이 평(平)하고 맛은 달며 독이 없다. 장위(腸胃)를 편안하게 하고 오맥(五)을 잘 통하게 하며 사지를 조절한다. 풍으로 어지럽고 머리가 아픈 데 주로 쓴다. 눈에 혈을 기르고 눈물이 나는 것을 멎게 하며, 머리와 눈을 맑게 하고 풍습비를 치료한다.",한의학고전DB
CLTX6,KMH6,동의보감,湯液篇卷之二 > 草部 上 > 甘菊花,"處處種之. 菊類甚多, 惟單葉, 花小而黃, 葉綠色深, 小而薄, 應候而開者, 是眞也.","곳곳에 자란다. 국화의 종류는 매우 많다. 이 중에 꽃잎은 홑잎이고 꽃은 작고 노란색이며, 잎은 짙은 녹색이면서 작고 얇으며 제철에 꽃피는 것만이 진품이다.",한의학고전DB
CLTX7,KMH6,동의보감,湯液篇卷之二 > 草部 上 > 甘菊花,"甘者入藥, 苦者不用.","단 것은 약에 넣지만, 쓴 것은 쓰지 않는다.",한의학고전DB
CLTX8,KMH6,동의보감,湯液篇卷之二 > 草部 上 > 甘菊花,"野菊爲薏. 菊甘而薏苦. 甘菊延齡, 野菊瀉人. 花小氣烈莖靑者, 爲野菊.","들국화는 의국(薏菊)이라고도 한다. 감국화는 달고 들국화는 쓰다. 감국화는 수명을 연장시키지만, 들국화는 사람의 기운을 빠지게 한다. 꽃이 작고 향이 강하며 줄기가 파란 것이 들국화다.",한의학고전DB
CLTX9,KMH6,동의보감,湯液篇卷之二 > 草部 上 > 甘菊花,"正月採根, 三月採葉, 五月採莖, 九月採花, 十一月採實, 皆陰乾用之. 《本草》","정월에 뿌리를 캐고 3월에 잎을 따며, 5월에 줄기를 베고 9월에 꽃을 따며, 11월에 씨를 받는다. 모두 그늘에 말려서 쓴다. 《본초》",한의학고전DB
CLTX10,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"性平, 味甘, 無毒. 解百藥毒. 爲九土之精, 安和七十二種石, 一千二百種草. 調和諸藥, 使有功, 故號爲國老.",성질이 평(平)하고 맛은 달며 독이 없다. 온갖 약독을 푼다. 구토(九土)의 정(精)이니 72종의 광물성 약재와 1200종의 식물성 약재를 조화시킨다. 여러 가지 약을 조화시켜 약효가 나게 하기 때문에 국로(國老)라고 부른다.,한의학고전DB
CLTX11,KMH9,동의보감,湯液篇卷之二 > 草部 上 > 甘草,"主五藏六府寒熱邪氣. 通九竅, 利百, 堅筋骨, 長肌肉.","오장육부의 한열과 사기(邪氣)에 주로 쓴다. 구규(九竅)를 잘 통하게 하고 모든 경맥을 잘 통하게 하며, 근골을 튼튼하게 하고 살지게 한다.",한의학고전DB
